"","lag","mean_value","upper_sd","lower_sd"
"1",1,0.218458357696891,0.122147943304185,0.122147943304185
"2",2,0.136913522793322,0.151081805457853,0.151081805457853
"3",3,0.0736829195262921,0.173178756674198,0.173178756674198
"4",4,0.0332849726345166,0.186647227238667,0.186647227238667
"5",5,0.00304047477080823,0.191769369497715,0.191769369497715
"6",6,-0.0271504298539811,0.187349070620011,0.187349070620011
"7",7,-0.0579095387437287,0.176378490069736,0.176378490069736
"8",8,-0.0841178800353742,0.16622787665335,0.16622787665335
"9",9,-0.0991043838252018,0.160906524801725,0.160906524801725
"10",10,-0.103174324844511,0.161875480715259,0.161875480715259
"11",11,-0.101941971530052,0.163639784319583,0.163639784319583
"12",12,-0.0979891395969893,0.163902331086264,0.163902331086264
"13",13,-0.0904914162666662,0.165319265125686,0.165319265125686
"14",14,-0.0783308567966342,0.170462615494271,0.170462615494271
"15",15,-0.0634399164159768,0.174230546928665,0.174230546928665
"16",16,-0.0470998562854073,0.172937662461064,0.172937662461064
"17",17,-0.0302652094982967,0.174310791153753,0.174310791153753
"18",18,-0.014052024749121,0.179128923540068,0.179128923540068
"19",19,0.0051270965856225,0.183255794185464,0.183255794185464
"20",20,0.0287913449017557,0.186336600222085,0.186336600222085
"21",21,0.0522909992231663,0.185006750131895,0.185006750131895
"22",22,0.0672692708842339,0.178738852788172,0.178738852788172
"23",23,0.0768734219235467,0.174080984544111,0.174080984544111
"24",24,0.0848317686178704,0.172519147216313,0.172519147216313
"25",25,0.0909704965820686,0.172493880747664,0.172493880747664
"26",26,0.0911182048133801,0.1745780880775,0.1745780880775
"27",27,0.0797411741623652,0.176703318591381,0.176703318591381
"28",28,0.0611476666100466,0.180074812970978,0.180074812970978
"29",29,0.041558309520804,0.183012630378058,0.183012630378058
"30",30,0.0239762122938611,0.185397440162049,0.185397440162049
"31",31,0.0106993473293614,0.186570604828156,0.186570604828156
"32",32,-0.00076664261701226,0.186510193650475,0.186510193650475
"33",33,-0.012613343210048,0.187494455367815,0.187494455367815
"34",34,-0.0268260241461743,0.187394041173754,0.187394041173754
"35",35,-0.0397782294466324,0.183515100479066,0.183515100479066
"36",36,-0.0456693183490191,0.178688345154705,0.178688345154705
"37",37,-0.0469553939345178,0.175194353596906,0.175194353596906
"38",38,-0.0471109528663554,0.175208808633114,0.175208808633114
"39",39,-0.0470228252382031,0.177228203421014,0.177228203421014
"40",40,-0.0468116603077229,0.177174461002895,0.177174461002895
"41",41,-0.044269438325148,0.175951884536511,0.175951884536511
"42",42,-0.0382614341555008,0.177095424284587,0.177095424284587
"43",43,-0.0290931469563843,0.181384870656033,0.181384870656033
"44",44,-0.0188384281364776,0.183722133612397,0.183722133612397
"45",45,-0.00798628716100674,0.184198840806962,0.184198840806962
"46",46,0.00622868387771157,0.185017362647632,0.185017362647632
"47",47,0.0227001050988335,0.186684665079505,0.186684665079505
"48",48,0.0362255912270882,0.185286261401072,0.185286261401072
"49",49,0.0456955876467995,0.182422416514532,0.182422416514532
"50",50,0.0528322865614006,0.178095681952221,0.178095681952221
"51",51,0.0603187851004194,0.177929503849268,0.177929503849268
"52",52,0.0658469122261864,0.17903904361728,0.17903904361728
"53",53,0.0657407523868462,0.179761813895313,0.179761813895313
"54",54,0.0568919775203895,0.180351947473812,0.180351947473812
"55",55,0.0432772357387003,0.181705030866799,0.181705030866799
"56",56,0.0297581142417101,0.183286922328886,0.183286922328886
"57",57,0.0174667528931521,0.186847539322677,0.186847539322677
"58",58,0.00492594071201586,0.18585010993986,0.18585010993986
"59",59,-0.00946514276573804,0.18063016573892,0.18063016573892
"60",60,-0.0226676006702159,0.177417163223859,0.177417163223859
"61",61,-0.0327665084291156,0.175963774562513,0.175963774562513
"62",62,-0.0395387397292484,0.175679891836838,0.175679891836838
"63",63,-0.0426978994226729,0.175637238366285,0.175637238366285
"64",64,-0.0411946376406624,0.173736350539956,0.173736350539956
"65",65,-0.0360322901203325,0.173029592028883,0.173029592028883
"66",66,-0.0277094425113546,0.177065552714086,0.177065552714086
"67",67,-0.0202783035229514,0.183593830391647,0.183593830391647
"68",68,-0.0179163013363388,0.185288255347387,0.185288255347387
"69",69,-0.0154264633672348,0.181229523913321,0.181229523913321
"70",70,-0.00813564687458462,0.179017133974895,0.179017133974895
