"","lag","mean_value","upper_sd","lower_sd"
"1",1,0.220160088673544,0.123439213438038,0.123439213438038
"2",2,0.142511713517812,0.146780262887368,0.146780262887368
"3",3,0.0826067790694866,0.167190913228347,0.167190913228347
"4",4,0.045157649778049,0.186433722702682,0.186433722702682
"5",5,0.0157724077869046,0.194019018994391,0.194019018994391
"6",6,-0.0138858613547876,0.189515252870908,0.189515252870908
"7",7,-0.0440272036942696,0.176398959034979,0.176398959034979
"8",8,-0.0715247168534843,0.165997115135851,0.165997115135851
"9",9,-0.0901191146265933,0.161234537318886,0.161234537318886
"10",10,-0.0981730023156285,0.162661187405795,0.162661187405795
"11",11,-0.0990237459859782,0.1644061937034,0.1644061937034
"12",12,-0.0972817275948514,0.164768768897023,0.164768768897023
"13",13,-0.0934321780907958,0.165303556221661,0.165303556221661
"14",14,-0.0840150980363358,0.167188541069591,0.167188541069591
"15",15,-0.0706285076843163,0.168173050906264,0.168173050906264
"16",16,-0.055955900714341,0.168575944830221,0.168575944830221
"17",17,-0.039598690245126,0.170635348225437,0.170635348225437
"18",18,-0.0225509751650256,0.175694247868758,0.175694247868758
"19",19,-0.00131377229182708,0.178713705107978,0.178713705107978
"20",20,0.0240968937697772,0.181569659180671,0.181569659180671
"21",21,0.047711598124233,0.182036664030279,0.182036664030279
"22",22,0.0637639572162157,0.178003541930542,0.178003541930542
"23",23,0.0750157568993226,0.174324047247001,0.174324047247001
"24",24,0.0836422556407295,0.172781241763033,0.172781241763033
"25",25,0.0899367392210633,0.171830084679799,0.171830084679799
"26",26,0.0902191479019612,0.17315839190532,0.17315839190532
"27",27,0.080173615695732,0.174176045460052,0.174176045460052
"28",28,0.0632154263488141,0.1763169535849,0.1763169535849
"29",29,0.045815778109961,0.179354937424941,0.179354937424941
"30",30,0.0288440855492826,0.183746475062436,0.183746475062436
"31",31,0.0140229187760811,0.186411231402018,0.186411231402018
"32",32,0.00195400603038038,0.185839175761291,0.185839175761291
"33",33,-0.00864204854351366,0.185976329438723,0.185976329438723
"34",34,-0.0220098787586388,0.185848180408416,0.185848180408416
"35",35,-0.0353119048211326,0.182798397132936,0.182798397132936
"36",36,-0.0413309159100648,0.180485617546865,0.180485617546865
"37",37,-0.0430665644470956,0.179697333526017,0.179697333526017
"38",38,-0.0446142864693123,0.178465442176592,0.178465442176592
"39",39,-0.0453659880631236,0.177426792074741,0.177426792074741
"40",40,-0.0448883887504336,0.175709037294443,0.175709037294443
"41",41,-0.0427877240454859,0.173901464182122,0.173901464182122
"42",42,-0.0378372364839117,0.175554401556256,0.175554401556256
"43",43,-0.0306892375658088,0.180399466903673,0.180399466903673
"44",44,-0.0219783144473203,0.183452927737994,0.183452927737994
"45",45,-0.0114407602245418,0.183325601359222,0.183325601359222
"46",46,0.0023267531927801,0.183273982714955,0.183273982714955
"47",47,0.0166840779154049,0.184916013194905,0.184916013194905
"48",48,0.0291219912010136,0.185433662432771,0.185433662432771
"49",49,0.038702294025606,0.182595930893986,0.182595930893986
"50",50,0.0473941257134709,0.177194678290111,0.177194678290111
"51",51,0.0570117074916428,0.175415989092463,0.175415989092463
"52",52,0.0633994085967213,0.177378408787488,0.177378408787488
"53",53,0.064749059454447,0.179611189250977,0.179611189250977
"54",54,0.0597130000581936,0.18151039161224,0.18151039161224
"55",55,0.0484325639904325,0.181681239867173,0.181681239867173
"56",56,0.0352997138365199,0.183559156667756,0.183559156667756
"57",57,0.0226803403658641,0.186331442149481,0.186331442149481
"58",58,0.0092042353575568,0.185172815199251,0.185172815199251
"59",59,-0.00578355081761409,0.180256662490534,0.180256662490534
"60",60,-0.0196085427749613,0.178013106857551,0.178013106857551
"61",61,-0.0308763800961197,0.176895759146746,0.176895759146746
"62",62,-0.0375886030999004,0.176360084653068,0.176360084653068
"63",63,-0.040685813706808,0.175881941280416,0.175881941280416
"64",64,-0.0412425274104197,0.175309556567676,0.175309556567676
"65",65,-0.0375889187785661,0.17499487602446,0.17499487602446
"66",66,-0.0294217518047306,0.178779139219153,0.178779139219153
"67",67,-0.021622671935959,0.185502778066602,0.185502778066602
"68",68,-0.0188926124110608,0.187206858614522,0.187206858614522
"69",69,-0.0173917407771167,0.183370985313949,0.183370985313949
"70",70,-0.0105501758012148,0.179184332557204,0.179184332557204
"71",71,-0.00190203869129899,0.178614260220103,0.178614260220103
"72",72,0.00544537117260234,0.180135199365847,0.180135199365847
"73",73,0.0129599001043083,0.182277713849536,0.182277713849536
"74",74,0.0206533136532491,0.183731339396148,0.183731339396148
"75",75,0.0269030185264608,0.183329649343034,0.183329649343034
"76",76,0.0334078884140011,0.183549694211007,0.183549694211007
"77",77,0.0390450446969483,0.182592227803436,0.182592227803436
"78",78,0.0454702411148655,0.183793520974652,0.183793520974652
"79",79,0.0508212291581802,0.186520488996374,0.186520488996374
"80",80,0.0497260344353546,0.185164407743765,0.185164407743765
"81",81,0.0435703029258647,0.185555739649387,0.185555739649387
"82",82,0.0345216045150684,0.185395496125608,0.185395496125608
"83",83,0.0220414226528253,0.183520272852551,0.183520272852551
"84",84,0.00826048931469602,0.182240736895846,0.182240736895846
"85",85,-0.00281082190082695,0.181991860774109,0.181991860774109
"86",86,-0.0104619003736822,0.179673818709475,0.179673818709475
"87",87,-0.0173381804237656,0.177149121595847,0.177149121595847
"88",88,-0.0231368717915709,0.176311945496328,0.176311945496328
"89",89,-0.0261816640554585,0.177519068907786,0.177519068907786
"90",90,-0.0273240064101418,0.178784071589959,0.178784071589959
"91",91,-0.0279844168116701,0.180715143085244,0.180715143085244
"92",92,-0.0266337651574839,0.178652712622663,0.178652712622663
"93",93,-0.0238122269671244,0.179417652413862,0.179417652413862
"94",94,-0.0207944346788125,0.182600906670348,0.182600906670348
"95",95,-0.0178388509519373,0.182645220601325,0.182645220601325
"96",96,-0.0142279282068805,0.178995938076728,0.178995938076728
"97",97,-0.00986021762271569,0.177040797776107,0.177040797776107
"98",98,-0.00424741166431933,0.179651456173453,0.179651456173453
"99",99,0.00339704252028039,0.184608308945798,0.184608308945798
"100",100,0.0115450177150992,0.185065690542929,0.185065690542929
"101",101,0.0205891583454211,0.182190198124437,0.182190198124437
"102",102,0.0301975922035151,0.182332684433997,0.182332684433997
"103",103,0.0402113832227373,0.182535615876649,0.182535615876649
"104",104,0.0478500680898834,0.184271818105996,0.184271818105996
"105",105,0.0508415147143369,0.18438595976745,0.18438595976745
"106",106,0.04761565667405,0.182110386546408,0.182110386546408
"107",107,0.0396721240613625,0.180709993766162,0.180709993766162
"108",108,0.0290159541346298,0.181086292916514,0.181086292916514
"109",109,0.0189361477157,0.183983250410192,0.183983250410192
"110",110,0.011823593014328,0.187116388320268,0.187116388320268
"111",111,0.00496772586975367,0.190466778790272,0.190466778790272
"112",112,-0.00491961928957793,0.189727073505443,0.189727073505443
"113",113,-0.0161274246278643,0.183436051142403,0.183436051142403
"114",114,-0.022902431479552,0.178189970916774,0.178189970916774
"115",115,-0.0241956215914498,0.180872597021377,0.180872597021377
"116",116,-0.0232713372647924,0.183810916899067,0.183810916899067
"117",117,-0.0215958530329099,0.18384886998065,0.18384886998065
"118",118,-0.0187850376964571,0.181113670439026,0.181113670439026
"119",119,-0.0138109278666019,0.182959282310951,0.182959282310951
"120",120,-0.00949333857797955,0.185098239330996,0.185098239330996
"121",121,-0.00759253030356685,0.18385128321983,0.18385128321983
"122",122,-0.00672848404711165,0.182887593039089,0.182887593039089
"123",123,-0.00473681954285715,0.183564086966342,0.183564086966342
"124",124,-0.00260641532732145,0.183526645034569,0.183526645034569
"125",125,-0.000344222695771065,0.186542004256992,0.186542004256992
"126",126,0.000995594500563105,0.188187722333707,0.188187722333707
"127",127,0.00227617935241493,0.188068934850512,0.188068934850512
"128",128,0.00486364811727382,0.186053612220664,0.186053612220664
"129",129,0.010246061751927,0.18597323239531,0.18597323239531
"130",130,0.0184684766742083,0.185742850081947,0.185742850081947
"131",131,0.0266647192783727,0.185796787044175,0.185796787044175
"132",132,0.0336264430639248,0.185775707598855,0.185775707598855
"133",133,0.0406361496956621,0.186010739539911,0.186010739539911
"134",134,0.0440286611730237,0.186382079428871,0.186382079428871
"135",135,0.0413891654491297,0.186364655603834,0.186364655603834
"136",136,0.035056579729552,0.187453011914654,0.187453011914654
"137",137,0.0263801821298794,0.188762122615436,0.188762122615436
"138",138,0.0159707235029242,0.188404320251943,0.188404320251943
"139",139,0.00406332218303294,0.183921302273521,0.183921302273521
"140",140,-0.00507654393123145,0.182204444037563,0.182204444037563
"141",141,-0.0103100015357306,0.181682365065335,0.181682365065335
"142",142,-0.0144493385393794,0.18240990144901,0.18240990144901
"143",143,-0.0185940701524442,0.180313385697687,0.180313385697687
"144",144,-0.021687016710459,0.179052395513288,0.179052395513288
"145",145,-0.0226205281509972,0.181044096551046,0.181044096551046
"146",146,-0.0217032617543964,0.185464492161345,0.185464492161345
"147",147,-0.0213404793351814,0.188017537924797,0.188017537924797
"148",148,-0.0238486902825463,0.186871158998235,0.186871158998235
"149",149,-0.0260222379723244,0.183028444062793,0.183028444062793
"150",150,-0.0254375715124678,0.179592285134198,0.179592285134198
"151",151,-0.0222494989219577,0.17979418208446,0.17979418208446
"152",152,-0.0175110667419365,0.180791970968506,0.180791970968506
"153",153,-0.00750439375966067,0.182000010160952,0.182000010160952
"154",154,0.0056813195228417,0.183181756379596,0.183181756379596
"155",155,0.0181325086788062,0.185988083539045,0.185988083539045
"156",156,0.0273622690977586,0.188307433857553,0.188307433857553
"157",157,0.0348390304588552,0.186153634906107,0.186153634906107
"158",158,0.0417760385689235,0.183863072606833,0.183863072606833
"159",159,0.0493750773051105,0.188290525991027,0.188290525991027
"160",160,0.0529902179117317,0.191691924294719,0.191691924294719
"161",161,0.0493458686050555,0.191411037637043,0.191411037637043
"162",162,0.0387583748933796,0.188416516208265,0.188416516208265
"163",163,0.0258122144908385,0.184469841189756,0.184469841189756
"164",164,0.0141594411891906,0.18289040034898,0.18289040034898
"165",165,0.00559653740457469,0.183718283622281,0.183718283622281
"166",166,-0.00121184631128799,0.185273264068355,0.185273264068355
"167",167,-0.00626156989488084,0.18197543067601,0.18197543067601
"168",168,-0.00906755987624521,0.178504783232118,0.178504783232118
"169",169,-0.0103205755209463,0.179552455737507,0.179552455737507
"170",170,-0.0109898661883089,0.1849343937239,0.1849343937239
"171",171,-0.0118037884565692,0.188625796367625,0.188625796367625
"172",172,-0.0118769663650678,0.186965552934812,0.186965552934812
"173",173,-0.0109991527070666,0.182167178374114,0.182167178374114
