ID	stim_file	start_vol	end_vol
sub-control007	04_S9_combined_small.mp4	203	228
sub-control007	05_K4_combined_small.mp4	649	674
sub-control007	06_H7_combined_small.mp4	121	147
sub-control007	07_K2_combined_small.mp4	350	373
sub-control007	08_S12_combined_small.mp4	907	937
sub-control007	09_S11_combined_small.mp4	841	862
sub-control007	10_S27_combined_small.mp4	62	87
sub-control007	11_K21_long_combined_small.mp4	573	604
sub-control007	12_H37_combined_small.mp4	409	433
sub-control007	13_Trick6_short_combined_small.mp4	27	55
sub-control007	14_K19_long_combined_small.mp4	942	967
sub-control007	15_S18_combined_small.mp4	974	999
sub-control007	16_H19_combined_small.mp4	152	173
sub-control007	17_Trick37_combined_small.mp4	803	835
sub-control007	18_Trick4_combined_small.mp4	609	642
sub-control007	19_H17_combined_small.mp4	503	536
sub-control007	20_Trick20_short_combined_small.mp4	261	283
sub-control007	21_S15_combined_small.mp4	679	704
sub-control007	22_K18_combined_small.mp4	95	115
sub-control007	23_K10_combined_small.mp4	235	256
sub-control007	24_Trick28_combined_small.mp4	441	471
sub-control007	25_S25_combined_small.mp4	1004	1040
sub-control007	26_S30_combined_small.mp4	1109	1131
sub-control007	27_S31_combined_small.mp4	291	311
sub-control007	28_K24_combined_small.mp4	0	21
sub-control007	29_H36_combined_small.mp4	1045	1072
sub-control007	30_H15_combined_small.mp4	773	798
sub-control007	31_K3_combined_small.mp4	476	498
sub-control007	32_K16_short_combined_small.mp4	541	566
sub-control007	33_S21_combined_small.mp4	178	198
sub-control007	34_Trick38_combined_small.mp4	1081	1104
sub-control007	35_Trick32_long_combined_small.mp4	868	901
sub-control007	36_Trick7_short_combined_small.mp4	710	730
sub-control009	01_H35_combined_small.mp4	501	529
sub-control009	02_H10_combined_small.mp4	0	25
sub-control009	03_H16_combined_small.mp4	883	909
sub-control009	04_S9_combined_small.mp4	816	841
sub-control009	05_K4_combined_small.mp4	131	156
sub-control009	06_H7_combined_small.mp4	1012	1038
sub-control009	07_K2_combined_small.mp4	534	557
sub-control009	08_S12_combined_small.mp4	623	653
sub-control009	09_S11_combined_small.mp4	191	212
sub-control009	10_S27_combined_small.mp4	471	496
sub-control009	11_K21_long_combined_small.mp4	847	878
sub-control009	12_H37_combined_small.mp4	953	977
sub-control009	13_Trick6_short_combined_small.mp4	685	713
sub-control009	14_K19_long_combined_small.mp4	161	186
sub-control009	15_S18_combined_small.mp4	786	811
sub-control009	16_H19_combined_small.mp4	363	384
sub-control009	17_Trick37_combined_small.mp4	718	750
sub-control009	18_Trick4_combined_small.mp4	93	126
sub-control009	19_H17_combined_small.mp4	290	323
sub-control009	20_Trick20_short_combined_small.mp4	984	1006
sub-control009	21_S15_combined_small.mp4	59	84
sub-control009	22_K18_combined_small.mp4	597	617
sub-control009	23_K10_combined_small.mp4	415	436
sub-control009	24_Trick28_combined_small.mp4	1043	1073
sub-control009	25_S25_combined_small.mp4	218	254
sub-control009	26_S30_combined_small.mp4	1109	1131
sub-control009	27_S31_combined_small.mp4	759	779
sub-control009	28_K24_combined_small.mp4	441	462
sub-control009	29_H36_combined_small.mp4	562	589
sub-control009	30_H15_combined_small.mp4	260	285
sub-control009	31_K3_combined_small.mp4	30	52
sub-control009	32_K16_short_combined_small.mp4	330	355
sub-control009	33_S21_combined_small.mp4	660	680
sub-control009	34_Trick38_combined_small.mp4	1081	1104
sub-control009	35_Trick32_long_combined_small.mp4	915	948
sub-control009	36_Trick7_short_combined_small.mp4	389	409
sub-control011	01_H35_combined_small.mp4	517	545
sub-control011	02_H10_combined_small.mp4	780	805
sub-control011	03_H16_combined_small.mp4	486	512
sub-control011	04_S9_combined_small.mp4	652	677
sub-control011	05_K4_combined_small.mp4	362	387
sub-control011	06_H7_combined_small.mp4	1105	1131
sub-control011	07_K2_combined_small.mp4	905	928
sub-control011	08_S12_combined_small.mp4	1070	1100
sub-control011	09_S11_combined_small.mp4	431	452
sub-control011	10_S27_combined_small.mp4	182	207
sub-control011	11_K21_long_combined_small.mp4	91	122
sub-control011	12_H37_combined_small.mp4	933	957
sub-control011	13_Trick6_short_combined_small.mp4	711	739
sub-control011	14_K19_long_combined_small.mp4	26	51
sub-control011	15_S18_combined_small.mp4	58	83
sub-control011	16_H19_combined_small.mp4	336	357
sub-control011	17_Trick37_combined_small.mp4	212	244
sub-control011	18_Trick4_combined_small.mp4	964	997
sub-control011	19_H17_combined_small.mp4	393	426
sub-control011	20_Trick20_short_combined_small.mp4	876	898
sub-control011	21_S15_combined_small.mp4	747	772
sub-control011	22_K18_combined_small.mp4	278	298
sub-control011	23_K10_combined_small.mp4	0	21
sub-control011	24_Trick28_combined_small.mp4	582	612
sub-control011	25_S25_combined_small.mp4	810	846
sub-control011	26_S30_combined_small.mp4	1040	1062
sub-control011	27_S31_combined_small.mp4	461	481
sub-control011	28_K24_combined_small.mp4	251	272
sub-control011	29_H36_combined_small.mp4	617	644
sub-control011	30_H15_combined_small.mp4	550	575
sub-control011	31_K3_combined_small.mp4	306	328
sub-control011	32_K16_short_combined_small.mp4	152	177
sub-control011	33_S21_combined_small.mp4	851	871
sub-control011	34_Trick38_combined_small.mp4	683	706
