sub_a_roi1,sub_a_roi2,sub_b_roi1,sub_b_roi2
-0.162582,-0.308002,-0.153845,0.21658
0.0800459,0.257099,-0.564341,-0.189645
-0.0894368,-0.3427,-0.370209,-0.102671
-0.653061,-0.698666,0.00559054,0.0861596
-0.699718,-0.297749,0.0770452,0.0268801
-1.11251,-0.348522,-0.11381,0.125384
-0.300082,-0.248897,0.292994,0.265314
0.0174492,0.403936,-0.646685,-0.275532
-0.136686,-0.0634206,-0.0326558,-0.0842723
0.26523,0.430198,-0.224069,0.470093
-0.150061,0.353234,-0.258062,-0.0085047
-0.256239,-0.309392,-0.504002,0.167979
-0.382239,-0.422252,0.133437,-0.0284748
-0.0367061,0.0431062,-0.296457,0.173977
0.0885758,-0.121591,-0.38416,-0.0949642
-0.177415,0.0382446,-0.67755,0.0869717
0.328045,0.136646,-0.162905,0.143556
-0.111757,0.18112,-0.0141839,0.516179
-0.435984,0.363638,0.384551,0.295017
0.160976,0.161547,0.262772,-0.131349
0.222022,0.291978,0.0846654,-0.264205
0.432606,0.462758,-0.219778,-0.247165
0.1676,0.106015,-0.173739,-0.127235
-0.449807,-0.0511717,0.235311,-0.136418
0.0124608,-0.121127,-0.290137,-0.291126
-0.16995,-0.187199,-0.375421,-0.185892
0.0133233,0.379568,0.0884447,0.243283
-0.240744,0.16782,-0.165145,0.411825
-0.040229,-0.0283802,-0.101251,-0.105255
-0.174416,-0.230972,-0.25242,-0.17117
-0.204292,-0.385076,0.0677542,0.13335
-0.111695,-0.192397,0.33833,0.0250419
0.255,-0.0157604,0.101355,0.119332
0.0759087,0.0933057,-0.201122,0.280026
0.0772874,-0.134186,0.340532,-0.167408
0.333416,-0.320894,0.0944126,-0.0098735
0.79167,0.0345722,-0.38763,-0.0986296
0.184716,0.147813,-0.157459,0.312064
0.00977537,-0.0533292,0.288282,-0.273213
-0.0823388,-0.0963168,-0.163953,-0.189719
0.397141,-0.278081,-0.460229,0.0316901
-0.317266,-0.0973829,0.249808,-0.216291
-0.342319,-0.103869,0.50874,-0.0612106
0.0794118,0.18872,-0.772596,-0.315414
-0.0841528,-0.0642704,-0.830795,-0.148432
-0.320768,-0.0919175,0.357215,-0.222115
-0.457017,-0.546389,-0.0461025,-0.0506624
0.0583236,-0.128122,0.538337,0.289889
-0.0354592,0.134794,-0.117596,0.0777157
-0.512326,0.129455,0.480214,0.604794
-0.338449,-0.188463,-0.235886,-0.0056968
0.200297,0.0937822,-0.0554166,-0.46617
-0.087533,0.259634,-0.292937,0.28531
-0.142317,0.456963,0.185938,0.322054
0.0928953,0.244279,0.0950475,0.0707163
0.238624,0.464644,0.396553,0.096619
0.642381,0.325838,0.20295,0.30956
-0.0532842,0.233093,-0.110555,-0.424485
-0.298149,0.267887,-0.235085,0.269501
0.379578,-0.332783,0.0932112,0.219401
-0.518253,-0.179259,-0.122586,0.0533479
-0.439315,-0.282632,-0.169369,-0.0524159
-0.0689208,-0.308738,0.142735,0.129854
-0.012376,-0.226253,-0.433234,-0.296426
-0.295897,-0.137699,-0.256736,-0.0053502
0.180887,0.442603,-0.23018,-0.333824
-0.0214759,0.151305,-0.101642,-0.0500799
-0.113563,0.307886,0.292786,0.208928
0.0685629,0.437301,0.618229,-0.0422506
-0.238167,0.190581,-0.23581,0.0886483
0.0835971,-0.0388519,-0.744131,-0.164279
-0.172847,-0.373908,-0.273333,-0.243342
-0.250314,-0.389965,0.165935,-0.309515
0.53404,-0.00820904,0.368051,0.0631719
0.632636,0.0790129,0.105211,0.574139
0.409447,0.129269,-0.215446,0.266124
0.106484,0.113483,0.197417,-0.0573489
-0.251131,-0.192668,-0.267585,0.192126
-0.657345,-0.199169,-0.20806,-0.0157626
0.103205,0.0926579,0.0406347,-0.173605
0.162107,0.163799,-0.544094,-0.104795
0.806848,0.326602,-0.504055,-0.400481
-0.171586,0.00974044,-0.177331,0.280191
0.0159603,-0.0272962,0.0566049,0.309338
0.315164,0.0204377,0.100205,0.0860219
0.576862,0.119586,0.284855,-0.104101
0.241224,0.00792206,-0.196433,-0.0063517
0.102974,-0.0419022,-0.194752,-0.188849
-0.298192,-0.0492971,0.204111,-0.497661
0.184799,-0.043898,-0.100632,-0.0908518
-0.10653,0.0971677,-0.0333358,0.0310046
0.49071,0.19971,0.0538515,-0.473083
0.135639,0.0972233,0.200682,-0.0355108
0.061884,-0.128613,0.128624,0.433872
0.0097503,-0.0101916,-0.0247624,-0.0729173
0.174998,0.21544,0.071766,-0.215296
-0.240277,0.0956872,-0.732394,-0.263424
0.12253,0.0948908,0.144383,-0.0698223
0.272774,-0.0420502,-0.604064,0.0168599
-0.0198347,-0.145901,-0.219139,0.302893
-0.038191,-0.0628605,-0.63733,0.304412
-0.0936304,-0.0164228,-0.206633,0.165585
-0.480509,-0.0802642,-0.31187,-0.257612
-0.448908,0.116915,-0.212134,-0.025349
0.0695211,0.1601,-0.572095,0.118139
-0.157898,-0.176623,-0.18425,0.287211
-0.60873,-0.166397,0.231572,0.0645482
0.410517,0.170927,-0.23783,0.182259
0.272202,0.214236,-0.146386,-0.0439913
-0.240216,-0.0304933,0.0431713,-0.171558
0.285286,0.0838418,0.0664752,-0.269386
0.0587641,0.30538,0.804221,0.613471
0.226354,0.383936,0.28879,0.585766
0.726725,0.712227,0.289395,-0.0941847
0.126469,0.0737839,-0.24732,-0.394995
-0.0586675,0.0689798,-0.689868,-0.176498
0.360243,0.0854748,-0.508415,-0.17355
0.229826,0.234735,0.212438,0.0068968
0.116976,0.0999328,0.108015,0.261252
0.273006,-0.150938,-0.062156,0.232242
-0.0834147,0.216952,-0.209097,0.278744
0.204805,0.285959,0.326522,0.314438
0.0886123,-0.16711,-0.450256,-0.456017
-0.0613262,-0.495309,0.11134,-0.460898
0.473175,-0.439345,0.0879774,-0.19895
0.518902,0.0140013,0.0904716,-0.0148943
0.0131154,0.0497084,-0.254367,0.0770456
-0.249778,0.0969209,-0.544513,0.190973
-0.126506,-0.0657256,-0.179434,-0.0482116
-0.125624,-0.0519429,0.167945,0.133154
-0.218463,0.282787,-0.171228,0.0744342
0.171426,0.367713,-0.593024,0.155378
0.523583,0.104894,-0.501281,0.0109563
0.0367852,-0.123039,-0.0101884,0.171178
-0.189766,-0.082881,0.0300594,0.0310029
0.157496,0.28944,-0.111916,-0.345579
-0.351009,0.0031153,-0.145432,-0.15859
-0.300056,0.498242,-0.119028,-0.168412
0.514056,0.301653,-0.126671,-0.356525
0.171489,-0.241025,0.0108161,-0.0590086
-0.148381,-0.429363,0.0995858,-0.12314
-0.393635,-0.592527,0.030541,-0.0068838
-0.25412,-0.0993042,-0.318837,0.0014479
-0.0501882,0.0479948,-0.22382,0.0929115
-0.223884,-0.177564,-0.294054,-0.204126
0.250315,0.0540758,-0.26538,-0.192542
-0.0754191,0.0520605,-0.157183,0.255718
-0.121618,-0.338322,-0.220254,-0.0658785
-0.483066,-0.354304,-0.184287,-0.403643
-0.359669,-0.281255,0.205906,0.202359
-0.257052,0.122758,0.398564,0.496199
0.129929,0.328695,0.223626,-0.0935005
0.271735,0.0396184,0.0298801,0.0645692
-0.633906,-0.514061,0.0539114,0.374255
-0.175904,-0.467355,0.147935,0.116764
-0.0837633,0.0459198,0.205707,-0.124769
0.0292291,-0.0957648,0.168633,-0.100962
0.549604,0.56392,-0.246195,-0.0681011
0.320812,0.332105,0.0662031,0.292368
0.180601,0.0145423,0.565332,-0.0830909
-0.306309,-0.338952,-0.037066,0.248774
0.0961939,-0.138453,0.0959749,0.185969
0.289198,0.493638,0.0108569,0.393516
-0.124165,0.0202816,0.426303,0.193689
-0.251859,-0.306695,0.056442,-0.108576
0.405132,0.233955,-0.073478,-0.105614
0.295797,-0.0463275,-0.185952,-0.150329
0.161388,0.137797,-0.597851,0.079571
-0.108281,0.0831471,-0.256466,-0.285612
0.429217,-0.315477,-0.235847,-0.270601
0.408768,0.035284,-0.0819645,0.0285731
0.41247,0.157815,-0.252735,0.102509
-0.118738,-0.269529,0.136944,-0.28209
-0.0584272,0.0436693,0.328568,0.47608
-0.0138484,0.107752,0.109438,0.0589795
0.068044,0.560105,0.319618,-0.147981
0.0277986,0.520183,0.085195,0.224691
0.434954,0.683915,-0.120567,-0.0120551
0.550461,0.397233,-0.0244636,-0.125144
0.0126507,-0.0305998,-0.185926,-0.0868661
0.0133657,0.0820246,-0.404846,0.175239
-0.0273206,-0.00429502,-0.115747,-0.0279742
-0.305206,-0.252099,0.365345,-0.019831
-0.573419,-0.338911,0.0721966,-0.354228
0.0724673,0.392131,-0.116129,-0.317141
-0.382562,0.385919,-0.34449,0.0650663
0.0767213,0.0246246,-0.200483,0.0871223
0.182545,0.0103337,-0.231694,-0.159985
0.380943,0.0399308,0.448715,0.0303316
-0.0846108,-0.11871,-0.00256652,-0.174214
-0.238303,0.182712,0.33013,-0.280864
-0.278087,0.0648204,0.0945788,-0.370244
-0.394673,-0.234571,-0.121602,0.227149
0.239617,0.0316013,-0.0233857,0.111705
0.200323,0.111657,-0.165382,0.24756
-0.0408033,0.00860587,0.00457947,-0.0270372
-0.183406,-0.305977,-0.389506,-0.153695
0.543563,0.116157,0.267512,0.0961301
