vid	mock	duration_vid	duration_vid_withoutMock	duration_vid_withoutMock_postFixation	avgVidDur_MAGMOT	trial	stim_file	responseCuriosity	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh	responseConfidence	run	acq
2.00005112899817	8.01966109400018	37.746262284003	31.726652319001	31.9802131270007	31.2049305464777	1	05_K4_combined_small.mp4	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
61.9989760559984	68.001629675	43.6960546370026	37.693401018001	37.997643797	37.6629260223786	2	01_H35_combined_small.mp4	3	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
131.998366626998	138.000116363	31.202721581001	25.200971844999	25.998256036001	25.1993561231597	3	26_S30_combined_small.mp4	2	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
191.996970909	198.02720026	26.645965534001	20.615736183001	21.970691999002	20.6511013850224	4	36_Trick7_short_combined_small.mp4	4	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
241.996078331998	248.031538198	43.685689688002	37.650229822	37.965431181001	37.6873720705591	5	13_Trick6_short_combined_small.mp4	4	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
307.995517775002	314.028188389999	38.007007753	31.974337138003	33.968418794	31.9856778232597	6	21_S15_combined_small.mp4	4	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	1	1
369.993990378	376.029906809999	53.84482546	47.808909028001	47.964378031	47.8242188483395	7	18_Trick4_combined_small.mp4	6	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
445.993106386999	451.994037988999	52.969049953001	46.968118351001	48.000373992	46.9769704979233	8	35_Trick32_long_combined_small.mp4	2	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
523.991846534002	530.029136198002	52.335996320998	46.298706656998	47.9644936539991	46.3025988685004	9	17_Trick37_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
599.990895692001	606.021693692001	37.9685209159979	31.9377229159979	31.970223401	31.9653883757972	10	15_S18_combined_small.mp4	1	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
663.990880290999	670.017863421999	52.652629662	46.625646531	47.9731763429991	46.647059667818	11	19_H17_combined_small.mp4	7	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
746.004228098998	752.042039290998	58.683888410004	52.6460772180041	53.956965088001	52.6587213310596	12	25_S25_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
828.000237079998	834.029232959	29.4464661980019	23.4174703190001	23.9842177509999	23.4361092593214	13	23_K10_combined_small.mp4	3	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	2	1
882.011470854998	888.052068462998	39.6478666980002	33.6072690900001	33.9563317419998	33.6341225920405	14	03_H16_combined_small.mp4	7	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	2	1
944.006849273998	950.046089884999	33.259758217002	27.220517606001	27.969468630999	27.2233747229394	15	07_K2_combined_small.mp4	7	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
