vid	mock	duration_vid	duration_vid_withoutMock	duration_vid_withoutMock_postFixation	avgVidDur_MAGMOT	trial	stim_file	responseCuriosity	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh	responseConfidence	run	acq
2.00024985600612	8.02353604001109	37.4501926680096	31.4269064840046	31.972777196992	30.8942013751026	1	02_H10_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
61.9951574610022	68.0011403649987	31.9365275689925	25.930544664996	25.9987925669993	25.9062785054989	2	31_K3_combined_small.mp4	4	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
119.999188203015	126.033265314996	38.022347671999	31.988270560018	33.965307586012	31.9856778232597	3	21_S15_combined_small.mp4	2	remembered	remembered	remembered	forgotten	forgotten	remembered	remembered	remembered	remembered	3	1	1
187.998914494005	194.031904428994	53.847143644001	47.814153709012	47.965872405009	47.8242188483395	4	18_Trick4_combined_small.mp4	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
263.998095317016	269.998392715002	37.204227473994	31.203930076008	31.997401277011	31.2049305464777	5	05_K4_combined_small.mp4	7	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
323.997044296993	330.022362693999	37.849629521021	31.824311124015	31.974122690008	31.8447841705422	6	14_K19_long_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
383.994191534002	389.998171376996	30.454558736994	24.450578894	25.997536953015	24.4296420768009	7	09_S11_combined_small.mp4	2	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
437.994793153019	444.028721370996	58.702035001974	52.668106783997	53.965575392998	52.6587213310596	8	25_S25_combined_small.mp4	1	forgotten	forgotten	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	4	1	1
521.994348920998	528.028725356999	37.9308301370189	31.896453701018	31.965460327017	31.9239211945211	9	30_H15_combined_small.mp4	2	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
581.993956218997	588.027071190008	52.6516241450159	46.618509174005	47.969225909998	46.647059667818	10	19_H17_combined_small.mp4	4	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
661.990959262999	668.026100203017	37.4505624180019	31.415421477984	31.963243329984	31.4214597310813	11	32_K16_short_combined_small.mp4	2	forgotten	remembered	remembered	forgotten	forgotten	forgotten	remembered	forgotten	remembered	2	1	1
727.989982539002	734.024880483019	28.6488851009931	22.613987156976	23.9656136919799	22.64704779386	12	16_H19_combined_small.mp4	7	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
779.988904306984	785.992762485983	26.6478051950107	20.6439470160112	21.997405349015	20.6511013850224	13	36_Trick7_short_combined_small.mp4	6	remembered	remembered	remembered	forgotten	forgotten	remembered	remembered	remembered	remembered	3	2	1
831.989668726978	837.991715696988	29.4515832550242	23.4495362850139	23.9985415420087	23.4361092593214	14	23_K10_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
883.989444977981	890.023607170994	30.248364424013	24.214202231	25.967489922011	24.2467611438218	15	28_K24_combined_small.mp4	4	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
943.986265347978	950.022422893001	37.614720727026	31.578563182003	31.965369939978	31.5852802147605	16	10_S27_combined_small.mp4	4	remembered	remembered	remembered	forgotten	forgotten	remembered	remembered	remembered	remembered	3	2	1
1003.98594006899	1010.01858792	43.685761761007	37.653113909997	37.968758109987	37.6629260223786	17	01_H35_combined_small.mp4	7	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
1069.984538027	1076.02056395	33.253985433984	27.217959510977	27.966270136996	27.2233747229394	18	07_K2_combined_small.mp4	7	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered	6	2	1
1125.98330232798	1131.98706862199	42.451443012018	36.447676718002	37.995699627995	36.4234197084607	19	29_H36_combined_small.mp4	3	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered	5	2	1
1195.98409348799	1202.01955246899	28.252335608005	22.216876627004	23.964581217995	22.2466358922178	20	22_K18_combined_small.mp4	2	remembered	remembered	remembered	remembered	forgotten	remembered	remembered	remembered	remembered	4	2	1
1247.983247603	1254.01839934598	47.922230837983	41.887079095002	41.963742990018	41.9463757224196	21	08_S12_combined_small.mp4	1	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
1321.982405813	1327.98248667098	27.850942705001	21.850861847022	21.996673223009	21.8244762031405	22	33_S21_combined_small.mp4	3	remembered	remembered	remembered	remembered	forgotten	remembered	remembered	remembered	remembered	4	2	1
1371.98331090299	1377.98799468	43.6971485069949	37.692464729975	37.995309740974	37.6873720705591	23	13_Trick6_short_combined_small.mp4	5	forgotten	remembered	remembered	forgotten	forgotten	forgotten	remembered	forgotten	remembered	2	2	1
1437.979640212	1443.981971445	52.332029373996	46.329698140995	48.000225922995	46.3025988685004	24	17_Trick37_combined_small.mp4	7	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	2	1
1519.98026233601	1526.009291481	27.0426899289887	21.0136607839958	21.9671773150039	21.0219441039984	25	27_S31_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	3	1
1573.97563995	1580.01483114198	37.9724191309942	31.9332279390073	31.9652043650276	31.9653883757972	26	15_S18_combined_small.mp4	7	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	3	1
1633.97808444998	1639.97889571699	38.48523529101	32.484424024006	34.000245124015	32.4644825294189	27	04_S9_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	3	1
1695.976670874	1702.01177750101	49.802682731009	43.767576104001	43.964362345985	43.8031542191613	28	11_K21_long_combined_small.mp4	6	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	3	1
1767.97723343698	1774.00467745201	39.649045664002	33.621601648978	33.970943337976	33.6341225920405	29	03_H16_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	3	1
1831.97749133901	1838.01037090799	52.976175197982	46.943295628996	47.964455373003	46.9769704979233	30	35_Trick32_long_combined_small.mp4	4	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	3	1
1907.97497844901	1914.00624022599	34.815131608978	28.783869831997	29.968380812003	28.7830390627993	31	12_H37_combined_small.mp4	4	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	3	1
1969.97621703099	1976.00832382398	32.177625689015	26.145518896024	27.962841077009	26.1415626367406	32	20_Trick20_short_combined_small.mp4	2	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	3	1
2025.96876357299	2032.00822503499	39.884850975999	33.8453895139979	33.964033994009	33.8856755347213	33	06_H7_combined_small.mp4	7	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	3	1
2087.97212428199	2094.00172001401	46.494917438016	40.4653217059971	41.9697765169841	40.4736808382781	34	24_Trick28_combined_small.mp4	4	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	3	1
2163.966646236	2170.00586474001	33.457281968993	27.418063464982	27.9648983950029	27.4227010633796	35	34_Trick38_combined_small.mp4	3	remembered	remembered	remembered	forgotten	forgotten	remembered	remembered	remembered	remembered	3	3	1
2219.970390282	2226.00513818701	31.213973420003	25.179225514992	25.9597778509781	25.1993561231597	36	26_S30_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	3	1
