vid	mock	duration_vid	duration_vid_withoutMock	duration_vid_withoutMock_postFixation	avgVidDur_MAGMOT	trial	stim_file	responseCuriosity	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh	responseConfidence	run	acq
2.00120669799799	8.00665411099908	37.7743460829952	31.7688986699941	31.9891250380024	31.2049305464777	1	05_K4_combined_small.mp4	2	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
62.0040112169954	68.0345410150039	43.6880469290046	37.6575171309961	37.9701945629931	37.6629260223786	2	01_H35_combined_small.mp4	7	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered	5	1	1
131.995994999001	138.035904335993	31.208524290996	25.168614954004	25.966265154013	25.1993561231597	3	26_S30_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
192.002046203997	198.037046188998	26.654034200008	20.619034215007	21.965694646002	20.6511013850224	4	36_Trick7_short_combined_small.mp4	1	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
242.003859643999	248.048734819007	43.699137354008	37.654262179	37.951797508999	37.6873720705591	5	13_Trick6_short_combined_small.mp4	1	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	remembered	forgotten	remembered	4	1	1
308.000227761004	314.028144789001	38.003757152997	31.975840125	33.971741789006	31.9856778232597	6	21_S15_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
370.000063112006	376.001114945	53.852619459998	47.851567627004	47.999472729993	47.8242188483395	7	18_Trick4_combined_small.mp4	4	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
445.998002419001	452.027573996995	52.967211522002	46.937639944008	47.966745014011	46.9769704979233	8	35_Trick32_long_combined_small.mp4	1	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
523.994737682006	530.018404119997	52.3213289359991	46.2976624980081	47.981869224998	46.3025988685004	9	17_Trick37_combined_small.mp4	7	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
599.998544517002	606.031464554006	37.964137300995	31.931217263991	31.963021834992	31.9653883757972	10	15_S18_combined_small.mp4	5	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
663.997013614004	669.997798693003	52.648368561	46.647583482001	48.000295521997	46.647059667818	11	19_H17_combined_small.mp4	4	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
745.994296962002	751.995249564003	58.6857501950001	52.6847975929991	53.9995232029901	52.6587213310596	12	25_S25_combined_small.mp4	1	remembered	remembered	remembered	remembered	forgotten	remembered	remembered	remembered	remembered	4	1	1
827.994065297005	833.996915831006	29.4535807359934	23.450730201992	23.9975625999942	23.4361092593214	13	23_K10_combined_small.mp4	2	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
881.994226194999	887.996010755008	39.648078764003	33.6462942039943	34.0176862099906	33.6341225920405	14	03_H16_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
943.992721297001	950.028407113999	33.254602875007	27.218917058009	27.970495387009	27.2233747229394	15	07_K2_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	2	1
1006.002485689	1012.02451071	27.843181282994	21.821156261998	21.982392149003	21.8244762031405	16	33_S21_combined_small.mp4	5	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered	6	2	1
1056.00532652801	1062.04457732201	32.170537215992	26.131286421994	27.953883016001	26.1415626367406	17	20_Trick20_short_combined_small.mp4	6	forgotten	forgotten	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	4	2	1
1111.995858042	1118.025519198	28.645480742009	22.615819586005	23.976348694996	22.64704779386	18	16_H19_combined_small.mp4	6	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	2	1
1164.00046995101	1170.03988187201	34.810624114995	28.771212193999	29.953408393994	28.7830390627993	19	12_H37_combined_small.mp4	1	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	2	1
1225.994349728	1232.02520520301	47.930372208007	41.899516732999	41.972033528	41.9463757224196	20	08_S12_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
1295.99545298601	1302.02395876901	28.257508487994	22.229002704989	23.977146306992	22.2466358922178	21	22_K18_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	5	2	1
1352.00313416701	1358.039640115	31.935456271996	25.898950324001	25.952514333011	25.9062785054989	22	31_K3_combined_small.mp4	1	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
1405.990472902	1412.022040605	37.9303801589999	31.8988124559979	31.982086054005	31.9239211945211	23	30_H15_combined_small.mp4	4	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
1466.001231511	1472.039119213	36.894337171005	30.856449469007	31.956510606003	30.8942013751026	24	02_H10_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
1532.003582946	1538.00969917901	30.2558317160001	24.2497154829907	25.9996100199932	24.2467611438218	25	28_K24_combined_small.mp4	2	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	3	1
1590.00958242901	1596.034691866	37.8479458639922	31.8228364270035	31.9732434540055	31.8447841705422	26	14_K19_long_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	3	1
1650.006633738	1656.043470347	49.821828326997	43.784991718	43.964660195998	43.8031542191613	27	11_K21_long_combined_small.mp4	5	forgotten	forgotten	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	4	3	1
1722.00626068001	1728.04281034701	38.498869834991	32.462320167993	33.960258250998	32.4644825294189	28	04_S9_combined_small.mp4	6	forgotten	forgotten	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	4	3	1
1784.00282329601	1790.04166717901	37.615062534998	31.576218652	31.956763832	31.5852802147605	29	10_S27_combined_small.mp4	1	forgotten	forgotten	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	4	3	1
1845.99674610701	1852.02288831201	27.044223211997	21.018081007001	21.977993913999	21.0219441039984	30	27_S31_combined_small.mp4	2	forgotten	forgotten	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	4	3	1
