vid	mock	duration_vid	duration_vid_withoutMock	duration_vid_withoutMock_postFixation	avgVidDur_MAGMOT	trial	stim_file	responseCuriosity	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh	responseConfidence	run	acq
1.99929409200013	8.01747175699984	48.4371746459997	42.418996981	43.9818236080001	41.9463757224196	1	08_S12_combined_small.mp4	7	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
73.9991996700001	80.027544992	37.4466048889999	31.418259567	31.97053567	31.4214597310813	2	32_K16_short_combined_small.mp4	5	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
137.997572205	144.03373933	37.612376625	31.5762095	31.960828953	31.5852802147605	3	10_S27_combined_small.mp4	3	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	1	1
203.997562041	209.998595656	29.449062965	23.44802935	23.999727402	23.4361092593214	4	23_K10_combined_small.mp4	5	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
255.996764254	262.032370035	31.927865587	25.892259806	25.961045136	25.9062785054989	5	31_K3_combined_small.mp4	7	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	5	1	1
309.990921191	316.031002497	27.851954378	21.811873072	21.964156584	21.8244762031405	6	33_S21_combined_small.mp4	5	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered	6	1	1
359.993849744	365.996491601	38.481249504	32.478607647	33.992519994	32.4644825294189	7	04_S9_combined_small.mp4	7	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	5	1	1
421.995591216	428.02777693	31.213299218	25.181113504	25.966149622	25.1993561231597	8	26_S30_combined_small.mp4	4	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
477.993531532	484.028696448	37.844626326	31.80946141	31.963336615	31.8447841705422	9	14_K19_long_combined_small.mp4	7	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
537.989015025	544.027798015	32.167294856	26.1285118659999	27.964660248	26.1415626367406	10	20_Trick20_short_combined_small.mp4	5	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
597.991580073	604.026696261	37.2143272759999	31.179211088	31.964456712	31.2049305464777	11	05_K4_combined_small.mp4	6	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	6	1	1
663.99048585	670.018453548	28.6405799199999	22.6126122219999	23.972478958	22.64704779386	12	16_H19_combined_small.mp4	3	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
715.991277886	721.991399372	42.4488744750002	36.4487529889998	38.0009631299999	36.4234197084607	13	29_H36_combined_small.mp4	7	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	4	2	1
783.990493625	790.023336574	28.2460185209998	22.2131755719997	23.9686731470001	22.2466358922178	14	22_K18_combined_small.mp4	6	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	2	1
835.987651168	841.994316234	30.450836233	24.444171167	25.996608053	24.4296420768009	15	09_S11_combined_small.mp4	4	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered	4	2	1
895.989466457	902.020291614	33.244592209	27.213767052	27.971218361	27.2233747229394	16	07_K2_combined_small.mp4	7	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered	6	2	1
951.988039503	958.024482203	52.31971877	46.28327607	47.964800357	46.3025988685004	17	17_Trick37_combined_small.mp4	7	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	2	1
1027.987534269	1034.015577325	30.240501023	24.212457967	25.973602228	24.2467611438218	18	28_K24_combined_small.mp4	5	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
1081.987087646	1087.987575447	52.980911518999	46.980423717999	48.00118135	46.9769704979233	19	35_Trick32_long_combined_small.mp4	4	forgotten	remembered	remembered	forgotten	forgotten	forgotten	remembered	forgotten	remembered	3	2	1
1161.985472578	1168.020924316	43.683190025	37.647738287	37.9669933770001	37.6629260223786	20	01_H35_combined_small.mp4	7	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	2	1
1227.985459691	1234.020277573	37.9274688089999	31.892650927	31.966494364	31.9239211945211	21	30_H15_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	4	2	1
1291.982535114	1298.019580929	39.6440976560001	33.607051841	33.967844713	33.6341225920405	22	03_H16_combined_small.mp4	7	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered	3	2	1
