vid	mock	duration_vid	duration_vid_withoutMock	duration_vid_withoutMock_postFixation	avgVidDur_MAGMOT	trial	stim_file	responseCuriosity	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh	responseConfidence	run	acq
2.00201126900356	8.00915118300327	29.4605045360003	23.4533646220006	23.9966670469948	23.4361092593214	1	23_K10_combined_small.mp4	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
54.0048888439997	60.0446743790017	37.8474669639981	31.8076814289961	31.9561815109991	31.8447841705422	2	14_K19_long_combined_small.mp4	5	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	remembered	forgotten	remembered	4	1	1
118.002251235004	124.041188073999	37.975749140998	31.936812302003	31.954460594003	31.9653883757972	3	15_S18_combined_small.mp4	2	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
183.999543891005	190.038243804003	49.810800400999	43.772100488001	43.965409545999	43.8031542191613	4	11_K21_long_combined_small.mp4	3	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
256.000608143004	262.02569604	26.641932480997	20.616844584001	21.978009550003	20.6511013850224	5	36_Trick7_short_combined_small.mp4	6	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	6	1	1
306.003085588003	312.008127480003	37.456532828997	31.451490936997	31.990717139997	31.4214597310813	6	32_K16_short_combined_small.mp4	3	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	5	1	1
365.996290964002	372.036343350999	37.611305888997	31.571253502	31.971604461003	31.5852802147605	7	10_S27_combined_small.mp4	3	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered	6	1	1
426.005429946003	432.040233774998	52.336022994997	46.301219166002	47.956794893006	46.3025988685004	8	17_Trick37_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	6	1	1
503.995711602998	510.035680933004	30.258651154007	24.218681824001	25.967409359997	24.2467611438218	9	28_K24_combined_small.mp4	4	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
558.001433739002	564.004935420002	28.2549236089981	22.2514219279981	23.985061585998	22.2466358922178	10	22_K18_combined_small.mp4	4	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
613.990375560003	620.021156121999	31.9324533789979	25.901672817002	25.977231880002	25.9062785054989	11	31_K3_combined_small.mp4	6	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
674.001673186998	680.037456969003	28.653353744005	22.6175699620001	23.953465852996	22.64704779386	12	16_H19_combined_small.mp4	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
725.993286999997	731.993455151998	37.2196923419979	31.2195241899972	32.0026090559986	31.2049305464777	13	05_K4_combined_small.mp4	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
787.997417598999	794.036619638995	52.6472170069972	46.6080149670014	47.9564626990034	46.647059667818	14	19_H17_combined_small.mp4	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
864.001672341997	870.040934181997	30.458315402	24.419053562	25.968965966	24.4296420768009	15	09_S11_combined_small.mp4	3	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	6	2	1
923.99410892	930.043105609998	27.066146680998	21.017149991	21.957977074002	21.0219441039984	16	27_S31_combined_small.mp4	2	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	2	1
