vid	mock	duration_vid	duration_vid_withoutMock	duration_vid_withoutMock_postFixation	avgVidDur_MAGMOT	trial	stim_file	responseCuriosity	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh	responseConfidence	run	acq
2.00159596399953	8.008735591	29.1881882019998	23.1810485749993	23.9980776059992	22.64704779386	1	16_H19_combined_small.mp4	3	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
54.0060204849997	60.0083039589999	43.697691069	37.6954075949998	37.9960421629994	37.6873720705591	2	13_Trick6_short_combined_small.mp4	4	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	remembered	forgotten	remembered	3	1	1
124.004671218	130.029917135999	27.049636763	21.024390845001	21.963962937001	21.0219441039984	3	27_S31_combined_small.mp4	3	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
179.996401276	186.020389485	31.205191949	25.18120374	25.984254634999	25.1993561231597	4	26_S30_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	1	1
234.001794275	240.038389808	37.601283135	31.564687602	31.959105711	31.5852802147605	5	10_S27_combined_small.mp4	6	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	1	1
293.995022687	300.036043118	58.691250017	52.650229586	53.953010133	52.6587213310596	6	25_S25_combined_small.mp4	5	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
376.001732758999	382.02814352	46.4808563260009	40.454445565	41.961165755	40.4736808382781	7	24_Trick28_combined_small.mp4	3	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
445.987853468	452.011419478999	52.321143124	46.297577113001	47.983056149001	46.3025988685004	8	17_Trick37_combined_small.mp4	4	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
523.994709447999	530.018170341999	47.918743629001	41.8952827350009	41.979214496001	41.9463757224196	9	08_S12_combined_small.mp4	3	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
593.994445313	600.033901356	29.453856298	23.414400255	23.9650991549991	23.4361092593214	10	23_K10_combined_small.mp4	4	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
649.985278829	656.00831304	38.011960647999	31.988926436999	33.9893070960001	31.9856778232597	11	21_S15_combined_small.mp4	3	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	1	1
717.984523008	724.007230249	34.8079057669991	28.785198525999	29.986425791	28.7830390627993	12	12_H37_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	5	1	1
775.978550513	782.000567453	52.6441248969995	46.6221079569995	47.9853681069999	46.647059667818	13	19_H17_combined_small.mp4	5	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
853.984335951	860.025343008	33.4419543670004	27.4009473099998	27.9642388579998	27.4227010633796	14	34_Trick38_combined_small.mp4	4	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	2	1
909.988738221	916.014398492	30.24118092	24.215520649	25.967745005	24.2467611438218	15	28_K24_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	2	1
969.984875866	976.023772279	33.239155475	27.200259062	27.953861571	27.2233747229394	16	07_K2_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	2	1
1025.987668886	1032.01477443	37.214827927	31.187722383	31.972638826	31.2049305464777	17	05_K4_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	2	1
1085.986121285	1092.022749473	28.250687345	22.214059157	23.963836814	22.2466358922178	18	22_K18_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	2	1
1137.986028635	1144.021530149	53.84185915	47.806357636	47.957237011	47.8242188483395	19	18_Trick4_combined_small.mp4	4	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	2	1
1217.980539227	1224.019940273	38.477686183	32.438285137	33.957023836	32.4644825294189	20	04_S9_combined_small.mp4	5	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	2	1
1279.974791173	1285.998157927	32.170013327	26.146646573	27.985552108	26.1415626367406	21	20_Trick20_short_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	2	1
1339.983013326	1346.018628807	39.882732457	33.8471169759999	33.9627252429999	33.8856755347213	22	06_H7_combined_small.mp4	6	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	2	1
