vid	mock	duration_vid	duration_vid_withoutMock	duration_vid_withoutMock_postFixation	avgVidDur_MAGMOT	trial	stim_file	responseCuriosity	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh	responseConfidence	run	acq
2.00128898600087	8.02491249700324	30.7908453939999	24.7672218829976	25.9816854979982	24.2467611438218	1	28_K24_combined_small.mp4	6	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
56.0054816110023	62.0412893310022	43.6855203560008	37.6497126360009	37.9648811259978	37.6873720705591	2	13_Trick6_short_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
126.005243501	132.040304772003	37.613132390001	31.578071118998	31.961389028998	31.5852802147605	3	10_S27_combined_small.mp4	6	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
192.003903314002	198.039445772003	28.251499353999	22.215956895998	23.964711470999	22.2466358922178	4	22_K18_combined_small.mp4	5	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
244.002918877002	250.038915576002	39.885310586	33.849313887	33.964887978	33.8856755347213	5	06_H7_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
306.002721377001	312.037150148	28.651709974001	22.617281203002	23.965695611002	22.64704779386	6	16_H19_combined_small.mp4	7	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
358.002006109	364.030192348	27.850014092	21.821827853	21.966118470002	21.8244762031405	7	33_S21_combined_small.mp4	4	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
407.993639783002	414.033540984001	38.489897248998	32.449996047999	33.968185775	32.4644825294189	8	04_S9_combined_small.mp4	6	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
472.000514834002	478.029160167003	29.445844891001	23.417199558	23.966043156998	23.4361092593214	9	23_K10_combined_small.mp4	6	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
523.994306144003	530.033892304	32.1717544189991	26.132168259002	27.966675728003	26.1415626367406	10	20_Trick20_short_combined_small.mp4	5	remembered	remembered	remembered	forgotten	forgotten	remembered	remembered	remembered	remembered	3	1	1
583.998622415002	590.028038219003	27.042257995999	21.0128421919981	21.9644622919991	21.0219441039984	11	27_S31_combined_small.mp4	6	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
639.994318851001	646.032772394003	39.6449460079999	33.6064924649979	33.957588239998	33.6341225920405	12	03_H16_combined_small.mp4	6	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered	5	1	1
