vid	mock	duration_vid	duration_vid_withoutMock	duration_vid_withoutMock_postFixation	avgVidDur_MAGMOT	trial	stim_file	responseCuriosity	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh	responseConfidence	run	acq
1.9844813089876	8.00394379498903	31.26886185701	25.2493993710086	25.9886614379939	25.1993561231597	1	26_S30_combined_small.mp4	3	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
55.9904314930027	62.0304122880043	53.8597967489913	47.8198159539897	47.9665068509927	47.8242188483395	2	18_Trick4_combined_small.mp4	2	remembered	remembered	remembered	forgotten	forgotten	remembered	remembered	remembered	remembered	2	1	1
135.998505920987	142.035014675988	52.324353508011	46.28784475301	47.954433219013	46.3025988685004	3	17_Trick37_combined_small.mp4	6	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
217.991409235983	224.016412622994	30.242805106013	24.217801719002	25.982396089006	24.2467611438218	4	28_K24_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
271.996432213986	278.033019185998	52.653955863992	46.61736889198	47.952490764	46.647059667818	5	19_H17_combined_small.mp4	7	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
347.988460299006	354.01481289498	39.89078700199	33.864434406016	33.981615377008	33.8856755347213	6	06_H7_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
409.995328902005	416.031774581992	37.931626753998	31.895181074011	31.958557450009	31.9239211945211	7	30_H15_combined_small.mp4	4	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
469.988864691986	476.028752307	38.492361215002	32.452473599988	33.956039454992	32.4644825294189	8	04_S9_combined_small.mp4	3	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
533.985391410999	540.026289373985	31.92728667098	25.886388707994	25.966641916021	25.9062785054989	9	31_K3_combined_small.mp4	3	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
587.991350541997	594.028994061984	32.168696926994	26.131053407007	27.953347842005	26.1415626367406	10	20_Trick20_short_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
647.983595411002	654.023838574998	36.895561548998	30.8553183850021	31.968544831994	30.8942013751026	11	02_H10_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
713.981586834998	720.009986716002	49.805485935998	43.777086054994	43.9743394539991	43.8031542191613	12	11_K21_long_combined_small.mp4	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
785.990100812991	792.02620442198	37.4524863749975	31.4163827660086	31.9630708050099	31.4214597310813	13	32_K16_short_combined_small.mp4	5	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	2	1
847.988960269993	854.025735440993	37.8490501169876	31.8122749459876	31.9642060679906	31.8447841705422	14	14_K19_long_combined_small.mp4	5	forgotten	remembered	remembered	forgotten	forgotten	forgotten	remembered	forgotten	remembered	3	2	1
