vid	mock	duration_vid	duration_vid_withoutMock	duration_vid_withoutMock_postFixation	avgVidDur_MAGMOT	trial	stim_file	responseCuriosity	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh	responseConfidence	run	acq
2.01458320599977	8.05224793299976	28.771690298	22.734025571	23.947837955	22.2466358922178	1	22_K18_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
54.0027235559996	60.0084335249999	39.6628530150001	33.6571430459998	34.0066700779998	33.6341225920405	2	03_H16_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
119.99770177	125.999429401	38.494409586	32.492681955	34.012754304	32.4644825294189	3	04_S9_combined_small.mp4	6	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	5	1	1
188.01442336	194.048431619	36.891786332	30.857778073	31.963423369	30.8942013751026	4	02_H10_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	5	1	1
248.008230096	254.019125887	26.651562659	20.640666868	21.994905816	20.6511013850224	5	36_Trick7_short_combined_small.mp4	4	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
298.01153722	304.048740844	52.332738274	46.29553465	47.953719427	46.3025988685004	6	17_Trick37_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
373.998926731	380.021625178	42.444099832	36.421401385	37.976156791	36.4234197084607	7	29_H36_combined_small.mp4	5	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	1	1
439.996353116	446.029465046	52.97022412	46.93711219	47.975286391	46.9769704979233	8	35_Trick32_long_combined_small.mp4	6	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
518.003347074	524.042825732	38.007714899	31.968236241	33.9573650570001	31.9856778232597	9	21_S15_combined_small.mp4	6	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
579.997437235	586.026628409	28.642065719	22.6128745450001	23.976277178	22.64704779386	10	16_H19_combined_small.mp4	7	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
636.004582343	642.010727073	33.2528525279999	27.246707798	27.986251867	27.2233747229394	11	07_K2_combined_small.mp4	7	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
698.000334896	704.039735234	30.252130577	24.2127302390001	25.9683647730001	24.2467611438218	12	28_K24_combined_small.mp4	6	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
752.003608416	758.038978218	27.0488928160002	21.0135230139999	21.9548920879997	21.0219441039984	13	27_S31_combined_small.mp4	7	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	2	1
803.991433788	810.020607907	37.60892388	31.5797497610001	31.9832368689999	31.5852802147605	14	10_S27_combined_small.mp4	5	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	2	1
864.001835037	870.006534453	37.847966393	31.843266977	31.98982735	31.8447841705422	15	14_K19_long_combined_small.mp4	6	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	2	1
929.999138318	936.036843625	43.68117581	37.643470503	37.962720021	37.6873720705591	16	13_Trick6_short_combined_small.mp4	5	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	2	1
995.996040149	1002.035309049	49.799019809	43.759750909	43.965128127	43.8031542191613	17	11_K21_long_combined_small.mp4	4	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	2	1
1067.998822449	1074.034692651	37.925238392	31.88936819	31.957535541	31.9239211945211	18	30_H15_combined_small.mp4	3	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	2	1
1127.991370494	1134.031842019	31.921203547	25.880732022	25.96703183	25.9062785054989	19	31_K3_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	2	1
1185.997743661	1192.032019747	37.210012156	31.17573607	31.964335867	31.2049305464777	20	05_K4_combined_small.mp4	7	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	2	1
1245.993177469	1252.032497499	29.451912658	23.412592628	23.9638591900001	23.4361092593214	21	23_K10_combined_small.mp4	4	forgotten	forgotten	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	2	1
1301.982840701	1308.013503399	27.8445029300001	21.8138402320001	21.9756152050001	21.8244762031405	22	33_S21_combined_small.mp4	5	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	2	1
1351.987647834	1358.012848325	30.453180171	24.42797968	25.981186113	24.4296420768009	23	09_S11_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	4	2	1
1405.992371689	1412.029386588	46.482106659	40.44509176	41.965393566	40.4736808382781	24	24_Trick28_combined_small.mp4	4	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	2	1
1481.995926426	1488.035304335	43.687949779	37.6485718700001	37.9582422519997	37.6629260223786	25	01_H35_combined_small.mp4	7	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	3	1
1551.995421297	1558.03564534	32.1707839049998	26.130559862	27.964603818	26.1415626367406	26	20_Trick20_short_combined_small.mp4	4	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	3	1
1608.000586668	1614.035590202	31.206133504	25.17112997	25.957238314	25.1993561231597	27	26_S30_combined_small.mp4	4	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	3	1
1661.991489883	1667.998068529	39.888321884	33.881743238	33.989611294	33.8856755347213	28	06_H7_combined_small.mp4	6	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	1	3	1
1723.986510309	1730.017463136	33.438413942001	27.407461115001	27.980565194	27.4227010633796	29	34_Trick38_combined_small.mp4	5	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	3	1
