file,aHPC,Caudate,NAcc,VTASN
ISC_sub-control002sub-control015_task-magictrickwatching_z.nii.gz,-0.011406,0.0203386,0.00529553,0.00934085
ISC_sub-control002sub-control017_task-magictrickwatching_z.nii.gz,0.00251033,0.0398073,0.0010268,0.00128785
ISC_sub-control002sub-control019_task-magictrickwatching_z.nii.gz,0.00448432,0.0124153,-0.0100314,0.0189862
ISC_sub-control002sub-control021_task-magictrickwatching_z.nii.gz,0.0158863,0.0173264,0.0140811,0.0239028
ISC_sub-control002sub-control023_task-magictrickwatching_z.nii.gz,0.0162288,0.0105171,-0.000707411,0.0126703
ISC_sub-control002sub-control025_task-magictrickwatching_z.nii.gz,0.00930059,0.0313468,0.0347281,0.0305929
ISC_sub-control002sub-control027_task-magictrickwatching_z.nii.gz,0.0186469,0.0447883,0.0297385,0.0142098
ISC_sub-control002sub-control029_task-magictrickwatching_z.nii.gz,0.0133324,0.0495946,0.022843,0.0259805
ISC_sub-control002sub-control031_task-magictrickwatching_z.nii.gz,0.00327107,0.0307585,0.0357038,0.0272416
ISC_sub-control002sub-control033_task-magictrickwatching_z.nii.gz,-0.00357396,0.0387901,0.00727207,0.0356542
ISC_sub-control002sub-control035_task-magictrickwatching_z.nii.gz,-0.00170963,0.00776191,-0.0124603,0.0180196
ISC_sub-control002sub-control037_task-magictrickwatching_z.nii.gz,0.0158082,0.00373149,-0.0163316,0.0132653
ISC_sub-control002sub-control039_task-magictrickwatching_z.nii.gz,0.00723056,0.0229139,-0.00954602,-0.0130404
ISC_sub-control002sub-control041_task-magictrickwatching_z.nii.gz,0.000167881,0.017569,-0.0137485,0.00717552
ISC_sub-control002sub-control043_task-magictrickwatching_z.nii.gz,0.0223421,0.011178,0.00281641,0.00950086
ISC_sub-control002sub-control045_task-magictrickwatching_z.nii.gz,0.0249886,0.0198042,-0.0107885,0.00220976
ISC_sub-control002sub-control047_task-magictrickwatching_z.nii.gz,0.00263932,0.0170256,0.0134793,0.00555289
ISC_sub-control002sub-control049_task-magictrickwatching_z.nii.gz,0.0267119,0.0200961,0.0204607,0.000779889
ISC_sub-control002sub-experimental004_task-magictrickwatching_z.nii.gz,0.0146461,0.0300993,0.0155887,5.77297e-05
ISC_sub-control002sub-experimental005_task-magictrickwatching_z.nii.gz,0.0062698,0.039879,-0.00914615,0.042072
ISC_sub-control002sub-experimental006_task-magictrickwatching_z.nii.gz,0.0160725,0.0198234,0.0124439,0.0186629
ISC_sub-control002sub-experimental008_task-magictrickwatching_z.nii.gz,0.000746779,-0.00714582,0.00837021,-0.00964319
ISC_sub-control002sub-experimental010_task-magictrickwatching_z.nii.gz,-0.00558458,0.0222035,0.0186413,0.0107021
ISC_sub-control002sub-experimental012_task-magictrickwatching_z.nii.gz,0.00134604,0.0262116,0.0335153,-0.0177877
ISC_sub-control002sub-experimental014_task-magictrickwatching_z.nii.gz,0.0175535,0.0213358,-0.0137361,0.0405234
