Subj1	Subj2	grp	uniqueCur_highConf	grUniqueCur_highConf	uniqueMem_highConf	grUniqueMem_highConf	curBetaFull_highConf	grCurBetaFull_highConf	curBetaRed_highConf	grCurBetaRed_highConf	InputFile	\
sub-control001	sub-experimental016	0	-0.307284254	0	0.04608436	0	0.017534435	0	0.038717973	0	ISC_sub-control001sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental018	0	0.100178013	0	-0.089985501	0	0.03513041	0	0.065031834	0	ISC_sub-control001sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental020	0	0.488484976	0	-0.072571739	0	-0.011097833	0	-0.008769787	0	ISC_sub-control001sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental022	0	-0.006197181	0	-0.026730828	0	-0.001846905	0	-0.000752275	0	ISC_sub-control001sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental024	0	0.26530554	0	-0.017682412	0	0.0072389	0	0.016010811	0	ISC_sub-control001sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental026	0	-0.077150026	0	-0.188841558	0	0.010675319	0	0.026950365	0	ISC_sub-control001sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental028	0	-0.023596103	0	0.406724434	0	0.007168152	0	0.01482279	0	ISC_sub-control001sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental030	0	-0.116246637	0	-0.140225149	0	0.032583345	0	0.066455917	0	ISC_sub-control001sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental032	0	0.203531519	0	-0.367635689	0	0.006879439	0	0.014265245	0	ISC_sub-control001sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental034	0	-0.049921175	0	-0.061665381	0	0.027985575	0	0.055038556	0	ISC_sub-control001sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental036	0	0.135494445	0	-0.20049218	0	0.010804546	0	0.024689241	0	ISC_sub-control001sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental038	0	0.172163652	0	0.133160612	0	0.001384653	0	0.007881972	0	ISC_sub-control001sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental040	0	-0.158641238	0	-0.203221306	0	0.001903035	0	0.01136576	0	ISC_sub-control001sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental042	0	-0.083348127	0	-0.011941695	0	-0.016933804	0	-0.019338114	0	ISC_sub-control001sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental044	0	0.002393741	0	-0.073377803	0	-0.03068568	0	-0.047800999	0	ISC_sub-control001sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental046	0	0.04777997	0	-0.048425861	0	-0.012314771	0	-0.019072532	0	ISC_sub-control001sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental048	0	0.082501287	0	-0.14672459	0	-0.001773533	0	0.003592514	0	ISC_sub-control001sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental050	0	0.348076357	0	0.201323403	0	-0.002635559	0	0.001257975	0	ISC_sub-control001sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control003	1	-0.266250986	-0.266250986	0.176030487	0.176030487	-0.024589464	-0.024589464	-0.0495005	-0.0495005	ISC_sub-control002sub-control003_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control007	1	-0.111125252	-0.111125252	0.059141068	0.059141068	0.001597213	0.001597213	-0.005420204	-0.005420204	ISC_sub-control002sub-control007_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control009	1	0.088233327	0.088233327	0.51888676	0.51888676	-0.021257881	-0.021257881	-0.049196852	-0.049196852	ISC_sub-control002sub-control009_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control011	1	-0.155726648	-0.155726648	0.118852598	0.118852598	-0.000871769	-0.000871769	-0.005410262	-0.005410262	ISC_sub-control002sub-control011_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control013	1	-0.266798854	-0.266798854	-0.001685601	-0.001685601	-0.008895138	-0.008895138	-0.027183805	-0.027183805	ISC_sub-control002sub-control013_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control015	1	-0.351775084	-0.351775084	0.201245973	0.201245973	0.001230153	0.001230153	-0.0070175	-0.0070175	ISC_sub-control002sub-control015_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control017	1	-0.083146597	-0.083146597	0.366862753	0.366862753	-0.020316022	-0.020316022	-0.040309735	-0.040309735	ISC_sub-control002sub-control017_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control019	1	0.015494699	0.015494699	0.261663279	0.261663279	-0.039349614	-0.039349614	-0.076696576	-0.076696576	ISC_sub-control002sub-control019_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control021	1	0.060572915	0.060572915	0.178653754	0.178653754	-0.036875633	-0.036875633	-0.075944119	-0.075944119	ISC_sub-control002sub-control021_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control023	1	-0.135067895	-0.135067895	0.466330382	0.466330382	-0.004518435	-0.004518435	-0.013548764	-0.013548764	ISC_sub-control002sub-control023_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control025	1	-0.120148778	-0.120148778	0.165693886	0.165693886	-0.017513868	-0.017513868	-0.041631311	-0.041631311	ISC_sub-control002sub-control025_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control027	1	0.209840409	0.209840409	-0.086033549	-0.086033549	-0.011418948	-0.011418948	-0.029776959	-0.029776959	ISC_sub-control002sub-control027_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control029	1	-0.349392817	-0.349392817	0.129463414	0.129463414	-0.001561344	-0.001561344	-0.008598324	-0.008598324	ISC_sub-control002sub-control029_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control031	1	0.353296479	0.353296479	-0.323924376	-0.323924376	-0.000941838	-0.000941838	-0.022584283	-0.022584283	ISC_sub-control002sub-control031_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control033	1	0.097642855	0.097642855	0.104970684	0.104970684	-0.001632963	-0.001632963	-0.013207605	-0.013207605	ISC_sub-control002sub-control033_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control035	1	0.295028461	0.295028461	-0.1020976	-0.1020976	0.035241589	0.035241589	0.04785825	0.04785825	ISC_sub-control002sub-control035_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control037	1	-0.448936516	-0.448936516	0.169656659	0.169656659	0.011331373	0.011331373	0.009580849	0.009580849	ISC_sub-control002sub-control037_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control039	1	-0.040865513	-0.040865513	0.44037781	0.44037781	-0.016530202	-0.016530202	-0.03627256	-0.03627256	ISC_sub-control002sub-control039_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control041	1	-0.004846068	-0.004846068	0.045118005	0.045118005	-0.004939377	-0.004939377	-0.016677796	-0.016677796	ISC_sub-control002sub-control041_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control043	1	-0.357970785	-0.357970785	0.312986829	0.312986829	-0.011064512	-0.011064512	-0.025176983	-0.025176983	ISC_sub-control002sub-control043_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control045	1	-0.000625223	-0.000625223	0.229381524	0.229381524	-0.007752132	-0.007752132	-0.02022493	-0.02022493	ISC_sub-control002sub-control045_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control047	1	-0.115173585	-0.115173585	0.108553987	0.108553987	-0.007444269	-0.007444269	-0.017092671	-0.017092671	ISC_sub-control002sub-control047_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control049	1	-0.048676481	-0.048676481	-0.127583268	-0.127583268	-0.028105445	-0.028105445	-0.066964282	-0.066964282	ISC_sub-control002sub-control049_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental004	0	-0.277099884	0	-0.101208403	0	0.015380703	0	0.012756739	0	ISC_sub-control002sub-experimental004_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental005	0	-0.121454343	0	-0.011810415	0	-0.017248569	0	-0.038230062	0	ISC_sub-control002sub-experimental005_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental006	0	0.00667954	0	0.039953126	0	-0.014462592	0	-0.03522976	0	ISC_sub-control002sub-experimental006_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental008	0	0.029107457	0	0.025068876	0	0.015288016	0	0.012863363	0	ISC_sub-control002sub-experimental008_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental010	0	-0.314113469	0	-0.169286288	0	0.028093547	0	0.035290338	0	ISC_sub-control002sub-experimental010_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental012	0	0.172239028	0	0.135622945	0	-0.049738106	0	-0.098092895	0	ISC_sub-control002sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental014	0	0.193912473	0	0.029694782	0	-0.026002562	0	-0.050917943	0	ISC_sub-control002sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental016	0	-0.044700643	0	-0.244254399	0	0.002244231	0	-0.002665787	0	ISC_sub-control002sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental018	0	-0.168441929	0	-0.177267516	0	0.019840206	0	0.023648073	0	ISC_sub-control002sub-experimental018_task-magictrickwatching_z.nii.gz	\
